antecedent,consequent,support,confidence
{6 19 30},{1},0.179,0.578
{1 6 30},{19},0.103,1.0
{1 19 30},{6},0.177,0.585
{1 6 19},{30},0.167,0.62
{6 30},{1 19},0.307,0.337
{19 30},{1 6},0.316,0.327
{6 19},{1 30},0.298,0.347
{1 30},{6 19},0.31,0.334
{1 6},{19 30},0.284,0.364
{1 19},{6 30},0.288,0.359
{30},{1 6 19},0.563,0.184
{6},{1 19 30},0.528,0.196
{19},{1 6 30},0.54,0.192
{1},{6 19 30},0.52,0.199
{19 30 34},{1},0.133,0.96
{1 19 30},{34},0.177,0.725
{1 30 34},{19},0.128,1.0
{1 19 34},{30},0.128,1.0
{19 30},{1 34},0.316,0.405
{30 34},{1 19},0.368,0.348
{19 34},{1 30},0.36,0.356
{1 30},{19 34},0.31,0.413
{1 19},{30 34},0.288,0.444
{1 34},{19 30},0.352,0.364
{30},{1 19 34},0.563,0.227
{19},{1 30 34},0.54,0.237
{34},{1 19 30},0.641,0.2
{1},{19 30 34},0.52,0.246
{14 30 34},{1},0.216,0.609
{1 14 30},{34},0.131,1.0
{1 30 34},{14},0.128,1.026
{1 14 34},{30},0.131,1.0
{14 30},{1 34},0.421,0.312
{30 34},{1 14},0.368,0.357
{14 34},{1 30},0.475,0.277
{1 30},{14 34},0.31,0.424
{1 14},{30 34},0.382,0.344
{1 34},{14 30},0.352,0.373
{30},{1 14 34},0.563,0.233
{14},{1 30 34},0.717,0.183
{34},{1 14 30},0.641,0.205
{1},{14 30 34},0.52,0.253
{14 18 30},{1},0.31,0.425
{1 14 30},{18},0.131,1.0
{1 18 30},{14},0.162,0.812
{1 14 18},{30},0.293,0.449
{14 30},{1 18},0.421,0.312
{18 30},{1 14},0.397,0.331
{14 18},{1 30},0.527,0.249
{1 30},{14 18},0.31,0.424
{1 14},{18 30},0.382,0.344
{1 18},{14 30},0.387,0.34
{30},{1 14 18},0.563,0.233
{14},{1 18 30},0.717,0.183
{18},{1 14 30},0.705,0.186
{1},{14 18 30},0.52,0.253
{6 14 34},{18},0.122,1.651
{6 14 18},{34},0.29,0.698
{14 18 34},{6},0.36,0.561
{6 18 34},{14},0.262,0.772
{6 14},{18 34},0.388,0.522
{14 34},{6 18},0.475,0.426
{6 34},{14 18},0.352,0.574
{14 18},{6 34},0.527,0.384
{6 18},{14 34},0.382,0.53
{18 34},{6 14},0.466,0.433
{14},{6 18 34},0.717,0.282
{6},{14 18 34},0.528,0.383
{34},{6 14 18},0.641,0.316
{18},{6 14 34},0.705,0.287
{6 30 34},{18},0.123,1.251
{6 18 30},{34},0.154,1.0
{18 30 34},{6},0.27,0.573
{6 18 34},{30},0.262,0.59
{6 30},{18 34},0.307,0.504
{30 34},{6 18},0.368,0.42
{6 34},{18 30},0.352,0.438
{18 30},{6 34},0.397,0.389
{6 18},{30 34},0.382,0.405
{18 34},{6 30},0.466,0.331
{30},{6 18 34},0.563,0.274
{6},{18 30 34},0.528,0.293
{34},{6 18 30},0.641,0.241
{18},{6 30 34},0.705,0.219
{6 19 30},{34},0.179,0.69
{6 30 34},{19},0.123,1.0
{19 30 34},{6},0.133,0.925
{6 19 34},{30},0.123,1.0
{6 30},{19 34},0.307,0.403
{19 30},{6 34},0.316,0.39
{6 19},{30 34},0.298,0.414
{30 34},{6 19},0.368,0.335
{6 34},{19 30},0.352,0.35
{19 34},{6 30},0.36,0.343
{30},{6 19 34},0.563,0.219
{6},{19 30 34},0.528,0.234
{19},{6 30 34},0.54,0.229
{34},{6 19 30},0.641,0.193
{6 14 30},{34},0.122,1.0
{6 14 34},{30},0.122,1.0
{14 30 34},{6},0.216,0.567
{6 30 34},{14},0.123,0.992
{6 14},{30 34},0.388,0.316
{14 30},{6 34},0.421,0.291
{6 30},{14 34},0.307,0.399
{14 34},{6 30},0.475,0.258
{6 34},{14 30},0.352,0.348
{30 34},{6 14},0.368,0.333
{14},{6 30 34},0.717,0.171
{6},{14 30 34},0.528,0.232
{30},{6 14 34},0.563,0.217
{34},{6 14 30},0.641,0.191
{6 14 30},{18},0.122,1.0
{6 14 18},{30},0.29,0.423
{14 18 30},{6},0.31,0.395
{6 18 30},{14},0.154,0.793
{6 14},{18 30},0.388,0.316
{14 30},{6 18},0.421,0.291
{6 30},{14 18},0.307,0.399
{14 18},{6 30},0.527,0.232
{6 18},{14 30},0.382,0.321
{18 30},{6 14},0.397,0.309
{14},{6 18 30},0.717,0.171
{6},{14 18 30},0.528,0.232
{30},{6 14 18},0.563,0.217
{18},{6 14 30},0.705,0.174
{14 19 34},{18},0.133,1.613
{14 18 34},{19},0.36,0.597
{14 18 19},{34},0.306,0.704
{18 19 34},{14},0.274,0.786
{14 34},{18 19},0.475,0.453
{14 19},{18 34},0.399,0.539
{19 34},{14 18},0.36,0.598
{14 18},{19 34},0.527,0.408
{18 34},{14 19},0.466,0.461
{18 19},{14 34},0.4,0.538
{14},{18 19 34},0.717,0.3
{34},{14 18 19},0.641,0.336
{19},{14 18 34},0.54,0.399
{18},{14 19 34},0.705,0.305
{19 30 34},{18},0.133,1.0
{18 30 34},{19},0.27,0.495
{18 19 30},{34},0.133,1.0
{18 19 34},{30},0.274,0.487
{30 34},{18 19},0.368,0.363
{19 30},{18 34},0.316,0.422
{19 34},{18 30},0.36,0.371
{18 30},{19 34},0.397,0.336
{18 34},{19 30},0.466,0.286
{18 19},{30 34},0.4,0.334
{30},{18 19 34},0.563,0.237
{34},{18 19 30},0.641,0.208
{19},{18 30 34},0.54,0.247
{18},{19 30 34},0.705,0.189
{14 19 30},{34},0.133,1.0
{14 30 34},{19},0.216,0.618
{19 30 34},{14},0.133,1.0
{14 19 34},{30},0.133,1.0
{14 30},{19 34},0.421,0.317
{19 30},{14 34},0.316,0.422
{14 19},{30 34},0.399,0.334
{30 34},{14 19},0.368,0.363
{14 34},{19 30},0.475,0.281
{19 34},{14 30},0.36,0.371
{30},{14 19 34},0.563,0.237
{14},{19 30 34},0.717,0.186
{19},{14 30 34},0.54,0.247
{34},{14 19 30},0.641,0.208
{14 19 30},{18},0.133,1.0
{14 18 30},{19},0.31,0.431
{18 19 30},{14},0.133,1.0
{14 18 19},{30},0.306,0.437
{14 30},{18 19},0.421,0.317
{19 30},{14 18},0.316,0.422
{14 19},{18 30},0.399,0.334
{18 30},{14 19},0.397,0.336
{14 18},{19 30},0.527,0.253
{18 19},{14 30},0.4,0.334
{30},{14 18 19},0.563,0.237
{14},{18 19 30},0.717,0.186
{19},{14 18 30},0.54,0.247
{18},{14 19 30},0.705,0.189
{14 30 34},{18},0.216,1.0
{14 18 30},{34},0.31,0.697
{18 30 34},{14},0.27,0.801
{14 18 34},{30},0.36,0.599
{14 30},{18 34},0.421,0.513
{30 34},{14 18},0.368,0.587
{14 34},{18 30},0.475,0.455
{18 30},{14 34},0.397,0.544
{14 18},{30 34},0.527,0.409
{18 34},{14 30},0.466,0.463
{30},{14 18 34},0.563,0.383
{14},{18 30 34},0.717,0.301
{34},{14 18 30},0.641,0.337
{18},{14 30 34},0.705,0.306
{6 29},{4},0.187,1.0
{4 6},{29},0.342,0.547
{4 29},{6},0.187,1.0
{6},{4 29},0.528,0.355
{29},{4 6},0.28,0.668
{4},{6 29},0.397,0.472
{14 39},{18},0.175,1.0
{18 39},{14},0.175,1.0
{14 18},{39},0.527,0.332
{39},{14 18},0.316,0.554
{14},{18 39},0.717,0.244
{18},{14 39},0.705,0.248
{6 28},{19},0.111,1.0
{6 19},{28},0.298,0.374
{19 28},{6},0.19,0.587
{6},{19 28},0.528,0.211
{28},{6 19},0.342,0.326
{19},{6 28},0.54,0.207
{1 28},{16},0.104,1.0
{16 28},{1},0.104,1.0
{1 16},{28},0.497,0.21
{28},{1 16},0.342,0.305
{1},{16 28},0.52,0.201
{16},{1 28},0.513,0.204
{14 18},{46},0.527,0.408
{14 46},{18},0.215,1.0
{18 46},{14},0.215,1.0
{14},{18 46},0.717,0.3
{18},{14 46},0.705,0.305
{46},{14 18},0.372,0.578
{6 44},{4},0.205,1.0
{4 44},{6},0.205,1.0
{4 6},{44},0.342,0.6
{44},{4 6},0.373,0.55
{6},{4 44},0.528,0.389
{4},{6 44},0.397,0.517
{14 44},{18},0.219,0.97
{14 18},{44},0.527,0.403
{18 44},{14},0.188,1.128
{14},{18 44},0.717,0.296
{44},{14 18},0.373,0.569
{18},{14 44},0.705,0.301
{14 44},{1},0.219,1.0
{1 14},{44},0.382,0.573
{1 44},{14},0.219,1.0
{14},{1 44},0.717,0.305
{44},{1 14},0.373,0.587
{1},{14 44},0.52,0.421
{34 44},{18},0.188,1.0
{18 44},{34},0.188,1.0
{18 34},{44},0.466,0.403
{44},{18 34},0.373,0.504
{34},{18 44},0.641,0.294
{18},{34 44},0.705,0.267
{30 44},{34},0.103,1.0
{30 34},{44},0.368,0.279
{34 44},{30},0.188,0.546
{30},{34 44},0.563,0.182
{44},{30 34},0.373,0.275
{34},{30 44},0.641,0.16
{30 44},{18},0.103,1.058
{18 30},{44},0.397,0.274
{18 44},{30},0.188,0.578
{30},{18 44},0.563,0.193
{44},{18 30},0.373,0.292
{18},{30 44},0.705,0.154
{34 44},{1},0.188,0.546
{1 44},{34},0.219,0.47
{1 34},{44},0.352,0.292
{44},{1 34},0.373,0.275
{34},{1 44},0.641,0.16
{1},{34 44},0.52,0.198
{30 44},{1},0.103,1.0
{1 30},{44},0.31,0.332
{1 44},{30},0.219,0.47
{30},{1 44},0.563,0.182
{44},{1 30},0.373,0.275
{1},{30 44},0.52,0.198
{14 44},{34},0.219,0.692
{14 34},{44},0.475,0.319
{34 44},{14},0.188,0.805
{14},{34 44},0.717,0.211
{44},{14 34},0.373,0.406
{34},{14 44},0.641,0.236
{6 49},{48},0.129,1.0
{6 48},{49},0.366,0.352
{48 49},{6},0.191,0.675
{6},{48 49},0.528,0.244
{49},{6 48},0.389,0.331
{48},{6 49},0.479,0.269
{14 18},{49},0.527,0.416
{14 49},{18},0.289,0.759
{18 49},{14},0.188,1.167
{14},{18 49},0.717,0.306
{18},{14 49},0.705,0.311
{49},{14 18},0.389,0.564
{4 49},{16},0.119,1.0
{4 16},{49},0.204,0.583
{16 49},{4},0.119,1.0
{4},{16 49},0.397,0.3
{49},{4 16},0.389,0.306
{16},{4 49},0.513,0.232
{14 49},{1},0.289,0.777
{1 49},{14},0.383,0.586
{1 14},{49},0.382,0.588
{49},{1 14},0.389,0.578
{14},{1 49},0.717,0.313
{1},{14 49},0.52,0.432
{18 34},{49},0.466,0.403
{34 49},{18},0.188,1.0
{18 49},{34},0.188,1.0
{34},{18 49},0.641,0.293
{18},{34 49},0.705,0.266
{49},{18 34},0.389,0.483
{14 34},{49},0.475,0.316
{14 49},{34},0.289,0.518
{34 49},{14},0.188,0.798
{14},{34 49},0.717,0.209
{34},{14 49},0.641,0.234
{49},{14 34},0.389,0.385
{4 30},{34},0.242,0.414
{30 34},{4},0.368,0.272
{4 34},{30},0.269,0.372
{30},{4 34},0.563,0.178
{4},{30 34},0.397,0.252
{34},{4 30},0.641,0.156
{4 6},{48},0.342,0.361
{6 48},{4},0.366,0.338
{4 48},{6},0.123,1.0
{6},{4 48},0.528,0.234
{4},{6 48},0.397,0.311
{48},{4 6},0.479,0.258
{4 6},{19},0.342,0.387
{6 19},{4},0.298,0.444
{4 19},{6},0.228,0.58
{6},{4 19},0.528,0.251
{4},{6 19},0.397,0.334
{19},{4 6},0.54,0.246
{4 30},{1},0.242,0.707
{1 30},{4},0.31,0.551
{1 4},{30},0.39,0.438
{30},{1 4},0.563,0.303
{4},{1 30},0.397,0.431
{1},{4 30},0.52,0.329
{4 34},{18},0.269,0.76
{18 34},{4},0.466,0.438
{4 18},{34},0.205,1.0
{34},{4 18},0.641,0.319
{4},{18 34},0.397,0.516
{18},{4 34},0.705,0.29
{4 30},{18},0.242,0.414
{18 30},{4},0.397,0.252
{4 18},{30},0.205,0.489
{30},{4 18},0.563,0.178
{4},{18 30},0.397,0.252
{18},{4 30},0.705,0.142
{4 14},{34},0.289,0.547
{14 34},{4},0.475,0.333
{4 34},{14},0.269,0.587
{14},{4 34},0.717,0.221
{4},{14 34},0.397,0.399
{34},{4 14},0.641,0.247
{14 30},{4},0.421,0.238
{4 30},{14},0.242,0.414
{4 14},{30},0.289,0.346
{30},{4 14},0.563,0.178
{14},{4 30},0.717,0.14
{4},{14 30},0.397,0.252
{4 14},{18},0.289,0.547
{14 18},{4},0.527,0.3
{4 18},{14},0.205,0.773
{14},{4 18},0.717,0.221
{4},{14 18},0.397,0.399
{18},{4 14},0.705,0.224
{30 34},{26},0.368,0.327
{26 30},{34},0.14,0.862
{26 34},{30},0.203,0.595
{30},{26 34},0.563,0.214
{34},{26 30},0.641,0.188
{26},{30 34},0.412,0.292
{6 26},{48},0.134,1.0
{6 48},{26},0.366,0.366
{26 48},{6},0.205,0.653
{6},{26 48},0.528,0.254
{26},{6 48},0.412,0.324
{48},{6 26},0.479,0.279
{26 30},{1},0.14,0.862
{1 30},{26},0.31,0.389
{1 26},{30},0.24,0.503
{30},{1 26},0.563,0.214
{26},{1 30},0.412,0.292
{1},{26 30},0.52,0.232
{14 26},{18},0.305,0.761
{14 18},{26},0.527,0.441
{18 26},{14},0.299,0.776
{14},{18 26},0.717,0.324
{26},{14 18},0.412,0.563
{18},{14 26},0.705,0.329
{1 26},{16},0.24,0.518
{16 26},{1},0.124,1.0
{1 16},{26},0.497,0.249
{26},{1 16},0.412,0.301
{1},{16 26},0.52,0.239
{16},{1 26},0.513,0.242
{14 26},{1},0.305,0.785
{1 14},{26},0.382,0.627
{1 26},{14},0.24,1.0
{14},{1 26},0.717,0.334
{26},{1 14},0.412,0.581
{1},{14 26},0.52,0.461
{26 34},{18},0.203,1.0
{18 34},{26},0.466,0.434
{18 26},{34},0.299,0.677
{34},{18 26},0.641,0.316
{26},{18 34},0.412,0.491
{18},{26 34},0.705,0.287
{19 30},{26},0.316,0.442
{26 30},{19},0.14,1.0
{19 26},{30},0.233,0.601
{30},{19 26},0.563,0.248
{19},{26 30},0.54,0.259
{26},{19 30},0.412,0.339
{26 30},{18},0.14,0.749
{18 30},{26},0.397,0.264
{18 26},{30},0.299,0.35
{30},{18 26},0.563,0.186
{26},{18 30},0.412,0.254
{18},{26 30},0.705,0.149
{14 34},{26},0.475,0.344
{14 26},{34},0.305,0.536
{26 34},{14},0.203,0.807
{14},{26 34},0.717,0.228
{34},{14 26},0.641,0.255
{26},{14 34},0.412,0.396
{14 30},{26},0.421,0.249
{26 30},{14},0.14,0.749
{14 26},{30},0.305,0.343
{30},{14 26},0.563,0.186
{14},{26 30},0.717,0.146
{26},{14 30},0.412,0.254
{26 34},{1},0.203,0.595
{1 34},{26},0.352,0.342
{1 26},{34},0.24,0.503
{34},{1 26},0.641,0.188
{26},{1 34},0.412,0.292
{1},{26 34},0.52,0.232
{32 48},{16},0.205,0.545
{16 48},{32},0.248,0.45
{16 32},{48},0.224,0.498
{48},{16 32},0.479,0.233
{32},{16 48},0.413,0.27
{16},{32 48},0.513,0.217
{6 48},{32},0.366,0.365
{6 32},{48},0.132,1.01
{32 48},{6},0.205,0.653
{6},{32 48},0.528,0.253
{48},{6 32},0.479,0.279
{32},{6 48},0.413,0.323
{6 19},{32},0.298,0.443
{6 32},{19},0.132,1.0
{19 32},{6},0.226,0.585
{6},{19 32},0.528,0.25
{19},{6 32},0.54,0.245
{32},{6 19},0.413,0.32
{1 30},{32},0.31,0.395
{30 32},{1},0.245,0.501
{1 32},{30},0.405,0.302
{30},{1 32},0.563,0.217
{1},{30 32},0.52,0.236
{32},{1 30},0.413,0.297
{14 18},{32},0.527,0.437
{14 32},{18},0.299,0.77
{18 32},{14},0.304,0.759
{14},{18 32},0.717,0.322
{18},{14 32},0.705,0.327
{32},{14 18},0.413,0.559
{1 14},{32},0.382,0.616
{14 32},{1},0.299,0.786
{1 32},{14},0.405,0.58
{14},{1 32},0.717,0.328
{1},{14 32},0.52,0.453
{32},{1 14},0.413,0.57
{18 34},{32},0.466,0.448
{32 34},{18},0.277,0.755
{18 32},{34},0.304,0.689
{34},{18 32},0.641,0.327
{18},{32 34},0.705,0.297
{32},{18 34},0.413,0.507
{30 34},{32},0.368,0.333
{30 32},{34},0.245,0.501
{32 34},{30},0.277,0.442
{30},{32 34},0.563,0.217
{34},{30 32},0.641,0.191
{32},{30 34},0.413,0.297
{18 30},{32},0.397,0.259
{30 32},{18},0.245,0.42
{18 32},{30},0.304,0.338
{30},{18 32},0.563,0.182
{18},{30 32},0.705,0.146
{32},{18 30},0.413,0.249
{14 34},{32},0.475,0.346
{14 32},{34},0.299,0.55
{32 34},{14},0.277,0.593
{14},{32 34},0.717,0.23
{34},{14 32},0.641,0.257
{32},{14 34},0.413,0.399
{14 30},{32},0.421,0.244
{30 32},{14},0.245,0.42
{14 32},{30},0.299,0.343
{30},{14 32},0.563,0.182
{14},{30 32},0.717,0.143
{32},{14 30},0.413,0.249
{1 34},{32},0.352,0.348
{32 34},{1},0.277,0.442
{1 32},{34},0.405,0.302
{34},{1 32},0.641,0.191
{1},{32 34},0.52,0.236
{32},{1 34},0.413,0.297
{1 6},{48},0.284,0.703
{6 48},{1},0.366,0.547
{1 48},{6},0.468,0.427
{6},{1 48},0.528,0.379
{1},{6 48},0.52,0.384
{48},{1 6},0.479,0.417
{14 18},{48},0.527,0.513
{14 48},{18},0.356,0.759
{18 48},{14},0.348,0.777
{14},{18 48},0.717,0.377
{18},{14 48},0.705,0.383
{48},{14 18},0.479,0.564
{1 48},{16},0.468,0.295
{16 48},{1},0.248,0.556
{1 16},{48},0.497,0.277
{48},{1 16},0.479,0.288
{1},{16 48},0.52,0.265
{16},{1 48},0.513,0.269
{6 19},{48},0.298,0.508
{6 48},{19},0.366,0.414
{19 48},{6},0.268,0.566
{6},{19 48},0.528,0.287
{19},{6 48},0.54,0.281
{48},{6 19},0.479,0.316
{1 14},{48},0.382,0.724
{14 48},{1},0.356,0.777
{1 48},{14},0.468,0.591
{14},{1 48},0.717,0.386
{1},{14 48},0.52,0.532
{48},{1 14},0.479,0.578
{18 34},{48},0.466,0.504
{34 48},{18},0.316,0.744
{18 48},{34},0.348,0.677
{34},{18 48},0.641,0.367
{18},{34 48},0.705,0.334
{48},{18 34},0.479,0.491
{1 30},{48},0.31,0.341
{30 48},{1},0.282,0.375
{1 48},{30},0.468,0.226
{30},{1 48},0.563,0.188
{1},{30 48},0.52,0.203
{48},{1 30},0.479,0.221
{30 34},{48},0.368,0.518
{30 48},{34},0.282,0.675
{34 48},{30},0.316,0.602
{30},{34 48},0.563,0.338
{34},{30 48},0.641,0.297
{48},{30 34},0.479,0.398
{19 30},{48},0.316,0.523
{30 48},{19},0.282,0.586
{19 48},{30},0.268,0.618
{30},{19 48},0.563,0.294
{19},{30 48},0.54,0.307
{48},{19 30},0.479,0.346
{18 30},{48},0.397,0.267
{30 48},{18},0.282,0.375
{18 48},{30},0.348,0.304
{30},{18 48},0.563,0.188
{18},{30 48},0.705,0.15
{48},{18 30},0.479,0.221
{19 34},{48},0.36,0.31
{19 48},{34},0.268,0.416
{34 48},{19},0.316,0.352
{19},{34 48},0.54,0.207
{34},{19 48},0.641,0.174
{48},{19 34},0.479,0.233
{1 34},{48},0.352,0.3
{34 48},{1},0.316,0.334
{1 48},{34},0.468,0.226
{34},{1 48},0.641,0.165
{1},{34 48},0.52,0.203
{48},{1 34},0.479,0.221
{14 34},{48},0.475,0.252
{14 48},{34},0.356,0.336
{34 48},{14},0.316,0.378
{14},{34 48},0.717,0.167
{34},{14 48},0.641,0.186
{48},{14 34},0.479,0.249
{14 30},{48},0.421,0.284
{30 48},{14},0.282,0.423
{14 48},{30},0.356,0.336
{30},{14 48},0.563,0.212
{14},{30 48},0.717,0.167
{48},{14 30},0.479,0.249
{1 18},{48},0.387,0.273
{18 48},{1},0.348,0.304
{1 48},{18},0.468,0.226
{18},{1 48},0.705,0.15
{1},{18 48},0.52,0.203
{48},{1 18},0.479,0.221
{1 6},{16},0.284,0.556
{6 16},{1},0.278,0.568
{1 16},{6},0.497,0.318
{6},{1 16},0.528,0.3
{1},{6 16},0.52,0.304
{16},{1 6},0.513,0.308
{14 18},{16},0.527,0.532
{14 16},{18},0.38,0.738
{16 18},{14},0.369,0.76
{14},{16 18},0.717,0.391
{18},{14 16},0.705,0.398
{16},{14 18},0.513,0.546
{1 14},{16},0.382,0.757
{14 16},{1},0.38,0.762
{1 16},{14},0.497,0.581
{14},{1 16},0.717,0.404
{1},{14 16},0.52,0.556
{16},{1 14},0.513,0.564
{18 34},{16},0.466,0.526
{16 34},{18},0.332,0.739
{16 18},{34},0.369,0.666
{34},{16 18},0.641,0.383
{18},{16 34},0.705,0.348
{16},{18 34},0.513,0.479
{6 19},{16},0.298,0.54
{6 16},{19},0.278,0.579
{16 19},{6},0.286,0.563
{6},{16 19},0.528,0.306
{19},{6 16},0.54,0.299
{16},{6 19},0.513,0.314
{1 30},{16},0.31,0.626
{16 30},{1},0.29,0.67
{1 16},{30},0.497,0.39
{30},{1 16},0.563,0.345
{1},{16 30},0.52,0.374
{16},{1 30},0.513,0.378
{30 34},{16},0.368,0.521
{16 30},{34},0.29,0.662
{16 34},{30},0.332,0.577
{30},{16 34},0.563,0.341
{34},{16 30},0.641,0.299
{16},{30 34},0.513,0.374
{19 30},{16},0.316,0.527
{16 30},{19},0.29,0.575
{16 19},{30},0.286,0.583
{30},{16 19},0.563,0.296
{19},{16 30},0.54,0.309
{16},{19 30},0.513,0.325
{18 30},{16},0.397,0.285
{16 30},{18},0.29,0.39
{16 18},{30},0.369,0.307
{30},{16 18},0.563,0.201
{18},{16 30},0.705,0.16
{16},{18 30},0.513,0.22
{19 34},{16},0.36,0.314
{16 19},{34},0.286,0.394
{16 34},{19},0.332,0.339
{19},{16 34},0.54,0.209
{34},{16 19},0.641,0.176
{16},{19 34},0.513,0.22
{1 34},{16},0.352,0.368
{16 34},{1},0.332,0.39
{1 16},{34},0.497,0.26
{34},{1 16},0.641,0.202
{1},{16 34},0.52,0.249
{16},{1 34},0.513,0.252
{14 34},{16},0.475,0.238
{14 16},{34},0.38,0.298
{16 34},{14},0.332,0.34
{14},{16 34},0.717,0.158
{34},{14 16},0.641,0.177
{16},{14 34},0.513,0.22
{14 30},{16},0.421,0.269
{16 30},{14},0.29,0.39
{14 16},{30},0.38,0.298
{30},{14 16},0.563,0.201
{14},{16 30},0.717,0.158
{16},{14 30},0.513,0.22
{14 18},{1},0.527,0.555
{1 14},{18},0.382,0.766
{1 18},{14},0.387,0.756
{14},{1 18},0.717,0.408
{18},{1 14},0.705,0.415
{1},{14 18},0.52,0.563
{18 34},{1},0.466,0.58
{1 34},{18},0.352,0.769
{1 18},{34},0.387,0.699
{34},{1 18},0.641,0.422
{18},{1 34},0.705,0.384
{1},{18 34},0.52,0.521
{30 34},{1},0.368,0.348
{1 30},{34},0.31,0.413
{1 34},{30},0.352,0.364
{30},{1 34},0.563,0.227
{34},{1 30},0.641,0.2
{1},{30 34},0.52,0.246
{19 30},{1},0.316,0.559
{1 30},{19},0.31,0.571
{1 19},{30},0.288,0.613
{30},{1 19},0.563,0.314
{19},{1 30},0.54,0.328
{1},{19 30},0.52,0.34
{6 19},{1},0.298,0.559
{1 6},{19},0.284,0.587
{1 19},{6},0.288,0.579
{6},{1 19},0.528,0.316
{19},{1 6},0.54,0.309
{1},{6 19},0.52,0.321
{14 34},{1},0.475,0.277
{1 14},{34},0.382,0.344
{1 34},{14},0.352,0.373
{14},{1 34},0.717,0.183
{34},{1 14},0.641,0.205
{1},{14 34},0.52,0.253
{18 30},{1},0.397,0.408
{1 30},{18},0.31,0.522
{1 18},{30},0.387,0.418
{30},{1 18},0.563,0.287
{18},{1 30},0.705,0.23
{1},{18 30},0.52,0.311
{14 30},{1},0.421,0.312
{1 30},{14},0.31,0.424
{1 14},{30},0.382,0.344
{30},{1 14},0.563,0.233
{14},{1 30},0.717,0.183
{1},{14 30},0.52,0.253
{6 30},{1},0.307,0.337
{1 30},{6},0.31,0.334
{1 6},{30},0.284,0.364
{30},{1 6},0.563,0.184
{6},{1 30},0.528,0.196
{1},{6 30},0.52,0.199
{19 34},{1},0.36,0.356
{1 19},{34},0.288,0.444
{1 34},{19},0.352,0.364
{19},{1 34},0.54,0.237
{34},{1 19},0.641,0.2
{1},{19 34},0.52,0.246
{6 14},{18},0.388,0.747
{14 18},{6},0.527,0.549
{6 18},{14},0.382,0.759
{14},{6 18},0.717,0.404
{6},{14 18},0.528,0.549
{18},{6 14},0.705,0.411
{6 34},{18},0.352,0.743
{6 18},{34},0.382,0.686
{18 34},{6},0.466,0.562
{6},{18 34},0.528,0.497
{34},{6 18},0.641,0.409
{18},{6 34},0.705,0.372
{6 30},{34},0.307,0.403
{30 34},{6},0.368,0.335
{6 34},{30},0.352,0.35
{30},{6 34},0.563,0.219
{6},{30 34},0.528,0.234
{34},{6 30},0.641,0.193
{6 30},{19},0.307,0.583
{19 30},{6},0.316,0.565
{6 19},{30},0.298,0.6
{30},{6 19},0.563,0.318
{6},{19 30},0.528,0.339
{19},{6 30},0.54,0.331
{6 14},{34},0.388,0.316
{14 34},{6},0.475,0.258
{6 34},{14},0.352,0.348
{14},{6 34},0.717,0.171
{6},{14 34},0.528,0.232
{34},{6 14},0.641,0.191
{6 30},{18},0.307,0.504
{18 30},{6},0.397,0.389
{6 18},{30},0.382,0.405
{30},{6 18},0.563,0.274
{6},{18 30},0.528,0.293
{18},{6 30},0.705,0.219
{6 14},{30},0.388,0.316
{14 30},{6},0.421,0.291
{6 30},{14},0.307,0.399
{14},{6 30},0.717,0.171
{6},{14 30},0.528,0.232
{30},{6 14},0.563,0.217
{6 19},{34},0.298,0.414
{6 34},{19},0.352,0.35
{19 34},{6},0.36,0.343
{6},{19 34},0.528,0.234
{19},{6 34},0.54,0.229
{34},{6 19},0.641,0.193
{19 34},{18},0.36,0.762
{18 34},{19},0.466,0.587
{18 19},{34},0.4,0.685
{34},{18 19},0.641,0.428
{19},{18 34},0.54,0.508
{18},{19 34},0.705,0.389
{19 30},{34},0.316,0.422
{30 34},{19},0.368,0.363
{19 34},{30},0.36,0.371
{30},{19 34},0.563,0.237
{19},{30 34},0.54,0.247
{34},{19 30},0.641,0.208
{14 19},{18},0.399,0.765
{14 18},{19},0.527,0.58
{18 19},{14},0.4,0.765
{14},{18 19},0.717,0.426
{19},{14 18},0.54,0.566
{18},{14 19},0.705,0.434
{14 19},{34},0.399,0.334
{14 34},{19},0.475,0.281
{19 34},{14},0.36,0.371
{14},{19 34},0.717,0.186
{19},{14 34},0.54,0.247
{34},{14 19},0.641,0.208
{19 30},{18},0.316,0.422
{18 30},{19},0.397,0.336
{18 19},{30},0.4,0.334
{30},{18 19},0.563,0.237
{19},{18 30},0.54,0.247
{18},{19 30},0.705,0.189
{14 30},{19},0.421,0.317
{19 30},{14},0.316,0.422
{14 19},{30},0.399,0.334
{30},{14 19},0.563,0.237
{14},{19 30},0.717,0.186
{19},{14 30},0.54,0.247
{30 34},{18},0.368,0.733
{18 30},{34},0.397,0.68
{18 34},{30},0.466,0.578
{30},{18 34},0.563,0.479
{34},{18 30},0.641,0.421
{18},{30 34},0.705,0.382
{14 30},{18},0.421,0.735
{18 30},{14},0.397,0.78
{14 18},{30},0.527,0.587
{30},{14 18},0.563,0.55
{14},{18 30},0.717,0.432
{18},{14 30},0.705,0.439
{14 30},{34},0.421,0.513
{30 34},{14},0.368,0.587
{14 34},{30},0.475,0.455
{30},{14 34},0.563,0.383
{14},{30 34},0.717,0.301
{34},{14 30},0.641,0.337
{14 34},{18},0.475,0.759
{14 18},{34},0.527,0.684
{18 34},{14},0.466,0.773
{14},{18 34},0.717,0.503
{34},{14 18},0.641,0.562
